"YearCE" "Conflict" "Monuments" "Monuments_adj" "Cariaco_Rub_SST" "Cariaco_Bull_SST" "YokCave_d18O"
654 1 1 1 28.6629 27.6451 -4.76666666666667
655 0 0 0 28.7228 27.7097 -4.73
656 1 0 1 28.7433 27.6521 -4.45666666666667
657 1 3 3 28.7121 27.5942 -4.31
658 0 1 1 28.7654 27.536 -4.26
659 2 0 2 28.8638 27.4775 -4.095
660 0 0 0 28.6765 27.4187 -3.97333333333333
661 0 2 2 28.4658 27.3595 -3.975
662 1 8 8 28.4561 27.3 -3.92666666666667
663 0 0 0 28.4387 27.2402 -4.05
664 2 0 2 28.3971 27.1801 -4.08
665 0 1 1 28.4051 27.1196 -3.845
666 0 0 0 28.4506 27.0588 -3.87
667 0 5 5 28.4183 27.024 -3.81666666666667
668 0 6 6 28.3337 27.3524 -3.83
669 0 0 1 28.3386 27.6712 -3.68333333333333
670 1 0 1 28.3637 27.981 -3.725
671 0 0 1 28.3941 28.1804 -3.76
672 2 21 21 28.4661 27.5422 -3.945
673 0 1 1 28.6425 27.0817 -3.92
674 0 0 0 28.6563 27.0422 -3.905
675 0 1 1 28.4615 26.9604 -3.92
676 0 1 1 28.414 26.8439 -3.95
677 2 6 6 28.4627 26.7263 -4.075
678 2 0 2 28.4689 26.6073 -4.005
679 1 2 2 28.4607 26.8342 -4.065
680 1 4 4 28.574 27.0494 -4.08
681 3 1 1 28.6247 27.236 -4.255
682 1 16 16 28.611 27.3549 -4.43
683 0 4 4 28.4514 27.392 -4.225
684 0 2 2 28.0483 27.7049 -4.24333333333333
685 0 2 2 27.9683 28.1406 -4.21
686 0 1 1 28.3467 27.8356 -4.32
687 0 2 2 28.5446 27.44 -4.24
688 1 1 1 28.6645 27.1523 -4.37666666666667
689 0 3 3 28.5676 27.2774 -4.41
690 2 1 1 28.3467 28.1879 -4.3
691 0 5 5 28.2294 28.2121 -4.385
692 0 15 15 28.1865 27.538 -4.5
693 2 0 2 28.3531 27.3926 -4.29
694 2 0 2 28.3619 27.4057 -4.48666666666667
695 4 6 6 28.0955 27.4188 -4.465
696 2 0 2 28.0251 27.5295 -4.135
697 0 1 1 28.0172 27.9707 -4.15
698 2 0 2 28.0823 28.3401 -4.025
699 3 3 3 28.123 28.6308 -4.03
700 0 0 0 27.8575 28.914 -4.245
701 0 0 1 27.7957 29.1899 -4.05333333333333
702 0 17 17 28.0854 28.726 -3.94
703 0 0 0 28.1431 28.1791 -4.1325
704 0 0 0 28.1146 27.912 -4.148
705 1 1 1 28.1876 27.7061 -4.47
706 0 3 3 28.3527 27.6334 -4.475
707 0 3 3 28.191 27.5602 -4.1275
708 1 1 1 28.0095 27.4865 -3.82666666666667
709 0 18 18 28.0515 27.3838 -3.545
710 1 0 1 28.0066 27.2718 -3.75
711 3 2 2 27.9915 27.1587 -3.765
712 0 3 3 27.9275 27.0998 -3.73666666666667
713 1 2 2 27.8873 27.2332 -3.725
714 0 4 4 28.0363 27.3649 -3.76333333333333
715 2 0 2 28.2126 27.4951 -3.94
716 0 5 5 28.2872 27.3672 -3.905
717 0 1 1 28.3075 27.1057 -3.86
718 0 0 0 28.139 26.8377 -3.8
719 0 2 2 27.9718 26.6492 -3.81
720 1 0 1 27.8292 27.1356 -3.87333333333333
721 0 14 14 27.9306 27.5644 -4.025
722 0 3 3 28.1463 27.9059 -4.135
723 0 1 1 28.0853 28.237 -4.055
724 1 3 3 28.014 28.5582 -4.035
725 1 3 3 28.1066 28.2083 -4.12666666666667
726 0 6 6 28.1337 27.6433 -3.99
727 0 0 1 28.0344 27.0855 -3.755
728 0 0 0 28.0501 26.7656 -3.68
729 3 0 3 28.1834 27.3521 -3.68
730 0 6 6 28.0868 27.8296 -3.685
731 0 25 25 27.9275 28.1917 -3.53
732 0 1 1 28.0279 28.23 -3.66
733 0 4 4 28.0392 28.1091 -3.8
734 0 1 1 27.9399 27.9869 -3.685
735 1 1 1 27.898 27.8671 -3.775
736 2 11 11 27.9508 27.7778 -3.77
737 1 4 4 28.0164 27.7788 -3.795
738 1 2 2 28.0459 27.96 -3.785
739 0 1 1 28.1337 28.6223 -3.75
740 0 0 1 28.2209 29.5983 -3.86
741 3 15 15 27.9133 28.7423 -3.815
742 0 2 2 27.8461 27.2049 -3.9
743 1 2 2 27.9565 27.4537 -3.89
744 2 3 3 28.04 27.7235 -3.965
745 0 0 0 28.0561 28.0775 -4.02
746 2 8 8 28.0955 28.0077 -3.985
747 0 0 0 28.1559 27.3948 -3.94
748 0 1 1 27.9319 27.1607 -3.815
749 0 0 0 27.8373 27.1279 -3.885
750 0 4 4 27.9031 27.1194 -3.98
751 1 21 21 27.9851 27.1139 -3.995
752 1 7 7 28.0886 27.1084 -3.94
753 0 0 0 27.9937 27.2878 -3.805
754 0 4 4 27.8148 27.5204 -3.71
755 1 5 5 27.82 27.748 -3.78
756 0 6 6 27.8362 27.971 -3.97
757 0 14 14 27.8461 28.0609 -3.95
758 0 1 1 27.8368 27.8273 -3.84
759 1 1 1 27.8095 27.5885 -3.855
760 0 0 0 27.792 27.3444 -3.86
761 2 15 15 27.7679 27.0947 -3.935
762 0 2 2 27.9499 27.1579 -3.905
763 0 3 3 28.1083 27.2926 -3.99
764 0 3 3 28.1198 27.4256 -3.995
765 0 0 0 28.0719 27.5571 -4.07
766 0 11 11 27.8741 27.6123 -4.185
767 0 2 2 27.7955 27.5198 -4.025
768 1 1 1 27.8462 27.4266 -3.925
769 0 4 4 27.9602 27.3326 -3.81
770 0 1 1 28.0479 27.2377 -3.525
771 1 28 28 27.9788 27.5973 -3.48
772 0 2 2 27.8986 28.014 -3.635
773 0 2 2 27.8187 28.4153 -3.62666666666667
774 1 0 1 27.9228 28.8023 -3.73
775 1 0 1 28.1009 28.9196 -3.53
776 0 6 6 28.0373 28.622 -3.64
777 0 1 1 27.8793 28.316 -3.59
778 0 0 0 27.8744 28.0011 -3.81
779 0 1 1 27.8934 27.6769 -4.285
780 3 20 20 28.0782 27.6427 -3.96
781 2 2 2 28.1702 27.6368 -3.96333333333333
782 1 5 5 28.1107 27.631 -3.84
783 0 2 2 28.1791 27.6251 -3.61666666666667
784 2 1 1 28.3795 27.7244 -3.50666666666667
785 0 4 4 28.3551 27.9554 -3.5
786 0 0 0 28.2675 28.1816 -3.535
787 3 0 3 28.0931 28.4032 -3.654
788 1 3 3 28.0372 28.6203 -3.475
789 0 0 0 28.0444 28.4754 -3.6075
790 1 23 23 28.0678 28.3141 -3.79
791 0 5 5 28.1174 28.1504 -3.82
792 1 1 1 28.0292 27.9842 -3.70333333333333
793 0 0 1 27.9706 27.8269 -3.782
794 3 0 3 28.0122 27.6796 -3.6725
795 0 10 10 28.1069 27.5303 -3.585
796 0 2 2 28.257 27.3789 -3.505
797 1 0 1 28.3734 27.2332 -3.715
798 0 2 2 28.4619 27.6967 -3.67
799 4 1 1 28.2501 28.1413 -3.806
800 4 15 15 28.1225 28.5684 -3.92
801 3 2 2 28.1372 28.9794 -3.81
802 0 0 0 28.2074 28.9557 -3.6475
803 0 4 4 28.3234 28.5567 -3.868
804 0 0 0 28.2991 28.1425 -3.84
805 1 4 4 28.1823 27.7118 -3.95
806 0 0 0 28.289 27.3006 -3.62
807 0 4 4 28.3182 27.4365 -3.745
808 1 0 1 28.3502 27.5708 -3.8375
809 0 0 0 28.306 27.7035 -3.99666666666667
810 0 16 16 28.177 27.8346 -3.9325
811 0 0 0 28.1788 27.8116 -3.56
812 0 0 0 28.2504 27.6801 -3.6625
813 0 0 0 28.1505 27.547 -3.7
814 0 0 0 28.08 27.4122 -3.9
815 0 1 1 28.2068 27.3046 -3.996
816 0 0 0 28.4531 27.4235 -4.3
817 0 0 0 28.7061 27.541 -4.415
818 0 0 0 28.5283 27.6573 -4.54666666666667
819 1 0 1 28.2772 27.7724 -4.585
820 1 6 6 28.2685 27.7352 -4.58
821 0 2 2 28.3167 27.6107 -4.43
822 0 0 0 28.55 27.4848 -4.42
823 0 0 0 28.6532 27.3574 -4.325
824 0 1 1 28.5817 27.2605 -4.18666666666667
825 0 2 2 28.3968 27.3274 -4.085
826 0 0 0 28.0311 27.3939 -4.08
827 0 0 0 28.1449 27.46 -4.11333333333333
828 0 0 0 28.1856 27.5257 -4.015
829 0 0 0 28.176 27.591 -3.92
830 0 8 8 28.2058 27.656 -3.675
831 0 0 0 28.2726 27.7205 -3.565
832 0 1 1 28.1891 27.7846 -3.485
833 0 0 0 28.0104 27.8439 -3.445
