YearCE,MgCaRub,SSTRub,MgCaBull,SSTBull      
316,4.7844,28.0367,4.894,27.2808
317,4.7765,28.0171,5.0017,27.5172
318,4.7687,28.1141,5.1093,27.7486
319,4.9557,28.337,5.0699,27.6645
320,5.144,28.4227,5.0296,27.5777
321,5.3323,28.4429,4.9893,27.4902
322,5.5206,28.4499,4.9523,27.4093
323,5.7089,28.4499,4.9153,27.3278
324,5.8832,28.4408,4.8682,27.2233
325,5.7717,28.3111,4.616,26.645
326,5.6601,28.2105,4.3637,26.0342
327,5.5488,28.1834,4.1524,25.4947
328,5.4396,28.1585,4.4585,26.2677
329,5.3305,28.1467,4.7646,26.9893
330,5.2282,28.1395,5.0195,27.5559
331,5.1883,28.1371,4.8143,27.1023
332,5.1484,28.1343,4.6092,26.6289
333,5.1146,28.1235,4.4492,26.2449
334,5.1234,28.1266,4.6005,26.6085
335,5.1321,28.1606,4.7519,26.9603
336,5.1409,28.2012,4.8697,27.2266
337,5.1497,28.2029,4.8024,27.0754
338,5.1584,28.1861,4.7352,26.9221
339,5.1803,28.2023,4.697,26.834
340,5.2619,28.2725,4.7911,27.0498
341,5.3435,28.2886,4.8853,27.2613
342,5.3666,28.1713,4.935,27.3713
343,5.1656,28.0141,4.8139,27.1013
344,4.9646,27.9726,4.6928,26.8244
345,4.7635,27.9221,4.5788,26.5571
346,4.5625,27.8528,4.488,26.3394
347,4.3615,27.7832,4.3972,26.1172
348,4.2312,27.7871,4.3667,26.0416
349,4.3022,27.8889,4.508,26.3877
350,4.3732,27.8704,4.6492,26.723
351,4.4442,27.8377,4.7365,26.9251
352,4.5152,27.9059,4.6894,26.8166
353,4.5863,28.0349,4.6423,26.7069
354,4.6404,28.1357,4.5837,26.5686
355,4.6575,28.1774,4.4996,26.3674
356,4.6747,28.1756,4.4155,26.1623
357,4.6918,28.073,4.3314,25.9534
358,4.7089,27.9441,4.2473,25.7403
359,4.7261,28.0482,4.1633,25.5229
360,4.7432,28.1076,4.1914,25.5962
361,4.7603,28.2157,4.4134,26.1571
362,4.7775,28.362,4.6353,26.6905
363,4.7968,28.2047,4.7674,26.9957
364,4.8195,28.0101,4.7606,26.9804
365,4.8423,27.9242,4.7539,26.965
366,4.9597,27.9161,4.7528,26.9625
367,5.208,28.1178,4.7596,26.9779
368,5.4563,28.4641,4.7663,26.9933
369,5.4788,28.5688,4.7955,27.0598
370,5.2216,28.3319,4.8527,27.1886
371,4.9645,28.1156,4.9099,27.3159
372,4.7948,27.9547,4.8922,27.2768
373,4.7226,27.8647,4.7913,27.0503
374,4.6503,28.0042,4.6904,26.8189
375,4.6095,28.1098,4.6686,26.7682
376,4.6002,28.1055,4.7258,26.9005
377,4.5908,28.0954,4.7829,27.0312
378,4.6314,28.1436,4.7728,27.0081
379,4.7167,28.2088,4.7022,26.8461
380,4.8021,28.2524,4.6315,26.6816
381,4.8863,28.286,4.6856,26.8077
382,4.9696,28.3489,4.8403,27.1608
383,5.0529,28.4513,4.995,27.5028
384,4.9844,28.4554,5.0444,27.6097
385,4.8059,28.3158,5.0175,27.5516
386,4.6274,28.1918,4.9906,27.4931
387,4.6527,28.2768,4.9535,27.412
388,4.8103,28.4261,4.9098,27.3156
389,4.9679,28.4751,4.866,27.2184
390,5.0163,28.461,4.8031,27.077
391,5.0015,28.3858,4.7291,26.9083
392,4.9867,28.2955,4.6552,26.7369
393,4.9583,28.1201,4.61,26.6309
394,4.9229,27.9638,4.5798,26.5593
395,4.8876,27.9606,4.5495,26.4873
396,4.8505,28.1148,4.54,26.4646
397,4.8127,28.2397,4.54,26.4646
398,4.7749,28.234,4.54,26.4646
399,4.8163,28.2632,4.5736,26.5447
400,4.8895,28.3694,4.6207,26.656
401,4.9628,28.4985,4.6678,26.7662
402,5.0916,28.4637,4.7422,26.9383
403,5.2398,28.3802,4.8263,27.1293
404,5.3881,28.5001,4.9104,27.317
405,5.2853,28.6426,4.912,27.3205
406,5.106,28.5802,4.8884,27.2683
407,4.9268,28.4101,4.8649,27.2158
408,4.9836,28.3359,4.8813,27.2526
409,5.102,28.2014,4.9083,27.3123
410,5.2203,28.0897,4.9352,27.3717
411,5.1508,28.1146,4.8324,27.1431
412,5.0399,28.1177,4.7013,26.844
413,4.9291,28.1524,4.5701,26.5364
